iter	Passed	Remaining
697	926	401
698	928	399
699	929	398
700	930	396
701	930	395
702	931	393
703	932	392
704	933	390
705	934	388
706	934	387
707	935	385
708	936	384
709	937	382
710	938	381
711	939	379
712	940	378
713	940	376
714	941	375
715	945	375
716	947	373
717	948	372
718	949	370
719	949	369
720	950	367
721	951	366
722	951	364
723	952	363
724	953	361
725	953	360
726	954	358
727	955	356
728	956	355
729	956	353
730	958	352
731	960	351
732	961	350
733	962	348
734	963	347
735	963	345
736	964	344
737	965	342
738	966	341
739	967	339
740	967	338
741	968	336
742	969	335
743	970	333
744	971	332
745	971	330
746	973	329
747	974	328
748	976	327
749	977	325
750	978	324
751	978	322
752	979	321
753	980	319
754	981	318
755	982	317
756	983	315
757	984	314
758	985	313
759	986	311
760	989	310
761	990	309
762	994	309
763	996	307
764	997	306
765	998	305
766	999	303
767	1000	302
768	1001	300
769	1002	299
770	1005	298
771	1006	297
772	1006	295
773	1007	294
774	1008	292
775	1008	291
776	1009	289
777	1010	288
778	1011	286
779	1012	285
780	1012	284
781	1013	282
782	1014	281
783	1015	279
784	1016	278
785	1016	276
786	1017	275
787	1018	274
788	1019	272
789	1021	271
790	1022	270
791	1023	268
792	1023	267
793	1024	265
794	1025	264
795	1026	263
796	1027	261
797	1028	260
798	1029	258
799	1029	257
800	1030	256
801	1031	254
802	1033	253
803	1034	252
804	1035	250
805	1036	249
806	1037	248
807	1038	246
808	1038	245
809	1039	243
810	1040	242
811	1041	241
812	1041	239
813	1042	238
814	1043	236
815	1044	235
816	1045	234
817	1045	232
818	1046	231
819	1048	230
820	1049	228
821	1051	227
822	1052	226
823	1053	225
824	1054	223
825	1055	222
826	1055	220
827	1056	219
828	1057	218
829	1058	216
830	1059	215
831	1059	214
832	1060	212
833	1061	211
834	1064	210
835	1065	209
836	1066	207
837	1067	206
838	1067	204
839	1068	203
840	1069	202
841	1070	200
842	1071	199
843	1071	198
844	1072	196
845	1073	195
846	1074	194
847	1075	192
848	1078	191
849	1082	190
850	1082	189
851	1083	188
852	1084	186
853	1085	185
854	1086	184
855	1087	182
856	1087	181
857	1088	180
858	1089	178
859	1089	177
860	1090	176
861	1091	174
862	1093	173
863	1093	172
864	1094	170
865	1095	169
866	1096	168
867	1096	166
868	1097	165
869	1098	164
870	1099	162
871	1099	161
872	1100	160
873	1101	158
874	1102	157
875	1102	156
876	1103	154
877	1104	153
878	1105	152
879	1106	150
880	1107	149
881	1109	148
882	1110	147
883	1111	145
884	1112	144
885	1113	143
886	1114	141
887	1115	140
888	1115	139
889	1116	138
890	1117	136
891	1119	135
892	1119	134
893	1120	132
894	1123	131
895	1124	130
896	1124	129
897	1125	127
898	1126	126
899	1127	125
900	1128	123
901	1129	122
902	1129	121
903	1130	120
904	1131	118
905	1131	117
906	1132	116
907	1133	114
908	1134	113
909	1135	112
910	1136	111
911	1137	109
912	1139	108
913	1139	107
914	1140	105
915	1141	104
916	1142	103
917	1143	102
918	1143	100
919	1144	99
920	1145	98
921	1146	96
922	1147	95
923	1147	94
924	1148	93
925	1149	91
926	1149	90
927	1153	89
928	1154	88
929	1155	87
930	1156	85
931	1157	84
932	1158	83
933	1159	81
934	1159	80
935	1160	79
936	1161	78
937	1162	76
938	1163	75
939	1164	74
940	1164	73
941	1167	71
942	1168	70
943	1169	69
944	1169	68
945	1170	66
946	1171	65
947	1171	64
948	1172	63
949	1173	61
950	1174	60
951	1175	59
952	1175	57
953	1176	56
954	1177	55
955	1178	54
956	1178	52
957	1179	51
958	1181	50
959	1182	49
960	1183	48
961	1184	46
962	1185	45
963	1187	44
964	1187	43
965	1189	41
966	1190	40
967	1191	39
968	1192	38
969	1193	36
970	1193	35
971	1194	34
972	1195	33
973	1198	31
974	1198	30
975	1199	29
976	1200	28
977	1201	27
978	1202	25
979	1203	24
980	1204	23
981	1205	22
982	1205	20
983	1206	19
984	1207	18
985	1208	17
986	1208	15
987	1209	14
988	1212	13
989	1213	12
990	1214	11
991	1215	9
992	1215	8
993	1216	7
994	1217	6
995	1218	4
996	1219	3
997	1219	2
998	1220	1
999	1221	0
